Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;;Curve No. 11;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6
0.003;777.2249;0.003;775.1894;0.003;776.2849;0.003;778.7947;0.003;776.3535;0.003;774.2112;0.003;770.936;0.003;774.4233;0.003;773.8549;0.003;772.1237
0.006;815.7056;0.006;810.8223;0.006;811.7219;0.006;817.3339;0.006;811.7274;0.006;809.6296;0.006;801.6038;0.006;809.895;0.006;808.2717;0.006;804.7792
0.009;854.1863;0.009;846.4553;0.009;849.3323;0.009;855.8732;0.009;849.3333;0.009;845.048;0.009;832.2717;0.009;845.3667;0.009;842.6884;0.009;837.4348
0.012;892.6669;0.012;883.6392;0.012;888.1907;0.012;895.8553;0.012;889.2021;0.012;880.4664;0.012;864.8314;0.012;880.8384;0.012;878.4456;0.012;871.2047
0.015;933.7999;0.015;923.9545;0.015;927.9188;0.015;938.324;0.015;929.9525;0.015;911.2831;0.015;897.4233;0.015;918.7287;0.015;916.404;0.015;907.6044
0.018;975.9868;0.018;964.532;0.018;968.7269;0.018;981.1956;0.018;972.7008;0.018;941.0624;0.018;931.4623;0.018;956.8308;0.018;954.8887;0.018;944.2675
0.021;1019.41;0.021;1006.763;0.021;1010.046;0.021;1025.978;0.021;1014.481;0.021;971.7347;0.021;965.8881;0.021;996.6161;0.021;995.6448;0.021;983.1627
0.024;1063.97;0.024;1048.995;0.024;1052.868;0.024;1070.76;0.024;1048.953;0.024;1002.937;0.024;1001.43;0.024;1037.057;0.024;1036.401;0.024;1022.058
0.027;1109.545;0.027;1093.466;0.027;1095.801;0.027;1118.526;0.027;1083.425;0.027;1035.021;0.027;1037.729;0.027;1078.414;0.027;1069.605;0.027;1063.097
0.03;1157.212;0.03;1138.069;0.03;1140.491;0.03;1166.357;0.03;1119.995;0.03;1068.231;0.03;1074.987;0.03;1120.608;0.03;1102.767;0.03;1104.337
0.033;1205.227;0.033;1184.062;0.033;1185.181;0.033;1216.141;0.033;1156.73;0.033;1101.768;0.033;1113.66;0.033;1163.42;0.033;1137.199;0.033;1140.506
0.036;1255.48;0.036;1230.507;0.036;1231.846;0.036;1266.471;0.036;1194.65;0.036;1136.279;0.036;1152.74;0.036;1207.501;0.036;1171.943;0.036;1174.738
0.039;1305.733;0.039;1278.251;0.039;1278.816;0.039;1318.472;0.039;1232.992;0.039;1170.899;0.039;1193.349;0.039;1251.868;0.039;1207.801;0.039;1209.793
0.042;1358.362;0.042;1327;0.042;1327.266;0.042;1371.669;0.042;1272.34;0.042;1207.125;0.042;1233.987;0.042;1298.069;0.042;1244.367;0.042;1245.57
0.045;1411.139;0.045;1376.452;0.045;1376.428;0.045;1426.059;0.045;1312.523;0.045;1243.352;0.045;1276.37;0.045;1344.269;0.045;1281.718;0.045;1281.948
0.048;1465.917;0.048;1427.075;0.048;1426.697;0.048;1482.355;0.048;1353.517;0.048;1281.11;0.048;1318.753;0.048;1392.526;0.048;1320.155;0.048;1319.483
0.051;1521.366;0.051;1478.053;0.051;1478.151;0.051;1538.957;0.051;1395.977;0.051;1319.083;0.051;1362.635;0.051;1440.906;0.051;1358.949;0.051;1357.262
0.05399999;1578.35;0.05399999;1530.58;0.05399999;1530.269;0.05399999;1596.873;0.05399999;1438.706;0.05399999;1358.423;0.05399999;1406.841;0.05399999;1490.678;0.05399999;1398.955;0.05399999;1396.411
0.05699999;1636.558;0.05699999;1583.108;0.05699999;1584.014;0.05699999;1654.79;0.05699999;1482.783;0.05699999;1398.381;0.05699999;1452.31;0.05699999;1540.912;0.05699999;1439.018;0.05699999;1435.56
0.05999999;1695.696;0.05999999;1638.013;0.05999999;1637.987;0.05999999;1715.525;0.05999999;1526.86;0.05999999;1439;0.05999999;1498.525;0.05999999;1592.316;0.05999999;1480.704;0.05999999;1476.509
0.06299999;1756.454;0.06299999;1692.924;0.06299999;1694.073;0.06299999;1776.27;0.06299999;1573.023;0.06299999;1480.276;0.06299999;1545.608;0.06299999;1644.64;0.06299999;1522.39;0.06299999;1517.532
0.06599999;1817.641;0.06599999;1749.551;0.06599999;1750.159;0.06599999;1839.519;0.06599999;1619.235;0.06599999;1522.02;0.06599999;1593.812;0.06599999;1694.703;0.06599999;1565.62;0.06599999;1559.847
0.06899999;1880.896;0.06899999;1806.585;0.06899999;1808.596;0.06899999;1903.376;0.06899999;1666.945;0.06899999;1564.783;0.06899999;1640.654;0.06899999;1740.871;0.06899999;1609.142;0.06899999;1602.547
0.07199999;1944.15;0.07199999;1864.763;0.07199999;1867.286;0.07199999;1968.726;0.07199999;1715.06;0.07199999;1607.797;0.07199999;1683.272;0.07199999;1787.296;0.07199999;1653.7;0.07199999;1646.115
0.07499999;1998.974;0.07499999;1923.641;0.07499999;1927.514;0.07499999;2035.024;0.07499999;1764.57;0.07499999;1652.525;0.07499999;1725.952;0.07499999;1834.935;0.07499999;1698.821;0.07499999;1690.312
0.07799999;2053.626;0.07799999;1983.578;0.07799999;1988.376;0.07799999;2102.497;0.07799999;1815.018;0.07799999;1697.254;0.07799999;1769.838;0.07799999;1882.574;0.07799999;1744.745;0.07799999;1735.239
0.08099999;2109.625;0.08099999;2044.918;0.08099999;2045.655;0.08099999;2171.601;0.08099999;1866.351;0.08099999;1743.615;0.08099999;1813.724;0.08099999;1931.377;0.08099999;1791.629;0.08099999;1781.308
0.08399998;2165.986;0.08399998;2104.588;0.08399998;2099.552;0.08399998;2241.259;0.08399998;1918.965;0.08399998;1790.078;0.08399998;1858.89;0.08399998;1980.204;0.08399998;1838.998;0.08399998;1827.732
0.08699998;2223.311;0.08699998;2158.984;0.08699998;2153.886;0.08699998;2312.841;0.08699998;1971.996;0.08699998;1837.756;0.08699998;1904.272;0.08699998;2030.303;0.08699998;1887.726;0.08699998;1875.581
0.08999998;2281.288;0.08999998;2213.447;0.08999998;2209.141;0.08999998;2384.505;0.08999998;2026.515;0.08999998;1885.83;0.08999998;1950.507;0.08999998;2080.747;0.08999998;1936.58;0.08999998;1923.445
0.09299998;2340.131;0.09299998;2269.19;0.09299998;2264.602;0.09299998;2458.95;0.09299998;2081.096;0.09299998;1934.81;0.09299998;1997.179;0.09299998;2132.03;0.09299998;1987.106;0.09299998;1972.949
0.09599998;2400.248;0.09599998;2324.934;0.09599998;2321.455;0.09599998;2533.395;0.09599998;2137.793;0.09599998;1984.48;0.09599998;2044.549;0.09599998;2183.888;0.09599998;2037.632;0.09599998;2022.453
0.09899998;2460.754;0.09899998;2382.003;0.09899998;2378.309;0.09899998;2600.654;0.09899998;2194.491;0.09899998;2034.889;0.09899998;2092.712;0.09899998;2236.381;0.09899998;2089.797;0.09899998;2073.491
0.102;2522.708;0.102;2439.29;0.102;2436.85;0.102;2666.482;0.102;2252.872;0.102;2086.508;0.102;2141.322;0.102;2289.828;0.102;2142.187;0.102;2124.868
0.105;2584.702;0.105;2497.705;0.105;2495.507;0.105;2733.252;0.105;2311.579;0.105;2138.478;0.105;2191.116;0.105;2343.611;0.105;2195.75;0.105;2177.344
0.108;2648.717;0.108;2556.676;0.108;2555.324;0.108;2800.557;0.108;2371.802;0.108;2191.927;0.108;2241.041;0.108;2398.688;0.108;2249.848;0.108;2230.467
0.111;2712.731;0.111;2616.419;0.111;2615.543;0.111;2868.795;0.111;2432.853;0.111;2245.383;0.111;2292.434;0.111;2453.78;0.111;2305.06;0.111;2284.379
0.114;2778.197;0.114;2677;0.114;2676.63;0.114;2938.204;0.114;2494.928;0.114;2300.691;0.114;2343.827;0.114;2509.955;0.114;2361.403;0.114;2339.293
0.117;2843.968;0.117;2738.087;0.117;2738.428;0.117;3008.162;0.117;2558.223;0.117;2355.999;0.117;2396.706;0.117;2566.13;0.117;2418.265;0.117;2394.74
0.12;2910.908;0.12;2800.414;0.12;2800.857;0.12;3079.781;0.12;2622.049;0.12;2412.949;0.12;2449.768;0.12;2623.786;0.12;2476.304;0.12;2451.778
0.123;2978.523;0.123;2862.915;0.123;2864.433;0.123;3151.505;0.123;2687.341;0.123;2470.271;0.123;2503.873;0.123;2681.771;0.123;2534.549;0.123;2508.924
0.126;3047.039;0.126;2926.973;0.126;2928.29;0.126;3225.047;0.126;2752.8;0.126;2528.517;0.126;2558.43;0.126;2740.844;0.126;2594.379;0.126;2567.715
0.129;3116.694;0.129;2991.03;0.129;2993.592;0.129;3298.59;0.129;2820.334;0.129;2587.312;0.129;2613.813;0.129;2800.572;0.129;2654.209;0.129;2626.505
0.132;3186.84;0.132;3056.609;0.132;3058.893;0.132;3373.752;0.132;2887.867;0.132;2646.957;0.132;2670.006;0.132;2860.844;0.132;2715.528;0.132;2686.924
0.135;3258.461;0.135;3122.333;0.135;3125.69;0.135;3449.179;0.135;2957.36;0.135;2707.691;0.135;2726.728;0.135;2921.836;0.135;2776.968;0.135;2747.581
0.138;3330.188;0.138;3189.261;0.138;3192.532;0.138;3525.766;0.138;3027.111;0.138;2768.845;0.138;2784.612;0.138;2983.17;0.138;2839.869;0.138;2809.57
0.141;3403.667;0.141;3256.646;0.141;3260.701;0.141;3602.936;0.141;3098.245;0.141;2831.264;0.141;2842.681;0.141;3045.607;0.141;2903.298;0.141;2872.174
0.144;3477.145;0.144;3324.811;0.144;3329.248;0.144;3681.139;0.144;3169.994;0.144;2893.796;0.144;2902.098;0.144;3108.119;0.144;2967.659;0.144;2935.7
0.147;3552.28;0.147;3393.648;0.147;3398.808;0.147;3760.499;0.147;3242.807;0.147;2958.1;0.147;2961.514;0.147;3172.302;0.147;3032.801;0.147;3000.162
0.15;3627.675;0.15;3463.172;0.15;3469.086;0.15;3840.425;0.15;3316.685;0.15;3022.405;0.15;3022.343;0.15;3236.486;0.15;3098.665;0.15;3065.233
0.153;3704.035;0.153;3533.976;0.153;3540.045;0.153;3921.823;0.153;3391.246;0.153;3088.285;0.153;3083.281;0.153;3301.769;0.153;3165.85;0.153;3131.669
0.156;3780.865;0.156;3605.005;0.156;3612.058;0.156;4003.397;0.156;3467.333;0.156;3154.405;0.156;3145.395;0.156;3367.248;0.156;3233.343;0.156;3198.357
0.159;3858.711;0.159;3677.212;0.159;3684.455;0.159;4086.904;0.159;3543.672;0.159;3221.69;0.159;3207.929;0.159;3433.886;0.159;3302.42;0.159;3266.866
0.162;3937.66;0.162;3749.419;0.162;3758.394;0.162;4170.41;0.162;3621.883;0.162;3289.53;0.162;3271.456;0.162;3501.135;0.162;3371.497;0.162;3335.376
0.1650001;4017.202;0.1650001;3823.528;0.1650001;3832.348;0.1650001;4255.923;0.1650001;3700.094;0.1650001;3358.364;0.1650001;3335.816;0.1650001;3568.99;0.1650001;3442.192;0.1650001;3405.61
0.1680001;4098.218;0.1680001;3897.691;0.1680001;3908.274;0.1680001;4341.681;0.1680001;3780.1;0.1680001;3428.243;0.1680001;3400.833;0.1680001;3637.553;0.1680001;3512.934;0.1680001;3475.964
0.1710001;4179.442;0.1710001;3973.405;0.1710001;3984.2;0.1710001;4428.761;0.1710001;3860.247;0.1710001;3498.564;0.1710001;3467.063;0.1710001;3706.599;0.1710001;3585.11;0.1710001;3547.751
0.1740001;4262.692;0.1740001;4049.551;0.1740001;4061.792;0.1740001;4516.415;0.1740001;3942.247;0.1740001;3569.929;0.1740001;3533.568;0.1740001;3776.958;0.1740001;3657.686;0.1740001;3620.023
0.1770001;4345.942;0.1770001;4126.799;0.1770001;4139.763;0.1770001;4605.039;0.1770001;4024.912;0.1770001;3641.524;0.1770001;3601.531;0.1770001;3847.461;0.1770001;3731.38;0.1770001;3693.423
0.1800001;4431.041;0.1800001;4204.804;0.1800001;4218.877;0.1800001;4694.616;0.1800001;4108.793;0.1800001;3715.018;0.1800001;3669.495;0.1800001;3919.694;0.1800001;3805.846;0.1800001;3767.707
0.1830001;4516.345;0.1830001;4283.493;0.1830001;4298.685;0.1830001;4784.886;0.1830001;4193.689;0.1830001;3788.513;0.1830001;3739.094;0.1830001;3991.927;0.1830001;3881.101;0.1830001;3842.773
0.1860001;4603.187;0.1860001;4363.19;0.1860001;4379.36;0.1860001;4876.688;0.1860001;4279.333;0.1860001;3863.68;0.1860001;3808.747;0.1860001;4065.502;0.1860001;3957.527;0.1860001;3919.155
0.1890001;4690.667;0.1890001;4443.34;0.1890001;4461.185;0.1890001;4968.734;0.1890001;4366.342;0.1890001;3938.998;0.1890001;3879.956;0.1890001;4139.252;0.1890001;4034.34;0.1890001;3995.971
0.1920001;4779.297;0.1920001;4525.142;0.1920001;4543.489;0.1920001;5062.59;0.1920001;4453.729;0.1920001;4015.931;0.1920001;3951.614;0.1920001;4214.228;0.1920001;4112.585;0.1920001;4074.7
0.1950001;4869.022;0.1950001;4606.989;0.1950001;4627.327;0.1950001;5156.445;0.1950001;4543.079;0.1950001;4093.469;0.1950001;4024.426;0.1950001;4289.75;0.1950001;4190.873;0.1950001;4153.43
0.1980001;4959.354;0.1980001;4690.553;0.1980001;4711.25;0.1980001;5252.118;0.1980001;4632.429;0.1980001;4172.048;0.1980001;4098.061;0.1980001;4366.089;0.1980001;4271.026;0.1980001;4234.077
0.2010001;5050.986;0.2010001;4774.116;0.2010001;4796.922;0.2010001;5347.929;0.2010001;4724.041;0.2010001;4251.522;0.2010001;4172.424;0.2010001;4443.25;0.2010001;4351.179;0.2010001;4314.73
0.2040001;5142.852;0.2040001;4859.256;0.2040001;4882.595;0.2040001;5445.091;0.2040001;4815.721;0.2040001;4331.611;0.2040001;4247.919;0.2040001;4520.963;0.2040001;4433.015;0.2040001;4396.934
0.2070001;5236.368;0.2070001;4944.707;0.2070001;4969.946;0.2070001;5542.734;0.2070001;4908.963;0.2070001;4412.857;0.2070001;4323.751;0.2070001;4599.93;0.2070001;4515.192;0.2070001;4479.502
0.2100001;5329.885;0.2100001;5031.285;0.2100001;5057.58;0.2100001;5641.083;0.2100001;5002.651;0.2100001;4494.429;0.2100001;4400.929;0.2100001;4679.075;0.2100001;4598.668;0.2100001;4563.355
0.2130001;5425.427;0.2130001;5118.482;0.2130001;5146.206;0.2130001;5740.015;0.2130001;5097.531;0.2130001;4577.75;0.2130001;4478.122;0.2130001;4759.646;0.2130001;4682.876;0.2130001;4647.989
0.2160002;5521.125;0.2160002;5206.613;0.2160002;5235.333;0.2160002;5839.538;0.2160002;5193.25;0.2160002;4661.07;0.2160002;4557.264;0.2160002;4840.218;0.2160002;4768.003;0.2160002;4733.622
0.2190002;5618.108;0.2190002;5295.861;0.2190002;5325.378;0.2190002;5940.125;0.2190002;5289.843;0.2190002;4746.367;0.2190002;4636.407;0.2190002;4922.651;0.2190002;4854.264;0.2190002;4820.557
0.2220002;5715.555;0.2220002;5385.553;0.2220002;5416.448;0.2220002;6040.842;0.2220002;5387.776;0.2220002;4831.734;0.2220002;4717.016;0.2220002;5005.253;0.2220002;4941.043;0.2220002;4907.875
0.2250002;5813.925;0.2250002;5476.473;0.2250002;5508.063;0.2250002;6142.212;0.2250002;5486.087;0.2250002;4918.545;0.2250002;4797.956;0.2250002;5088.927;0.2250002;5029.334;0.2250002;4996.36
0.2280002;5913.082;0.2280002;5567.542;0.2280002;5601.069;0.2280002;6243.583;0.2280002;5585.896;0.2280002;5005.773;0.2280002;4880.069;0.2280002;5173.015;0.2280002;5117.724;0.2280002;5084.985
0.2310002;6012.683;0.2310002;5660.467;0.2310002;5694.192;0.2310002;6345.569;0.2310002;5685.72;0.2310002;5094.194;0.2310002;4962.892;0.2310002;5258.036;0.2310002;5207.586;0.2310002;5175.797
0.2340002;6113.129;0.2340002;5753.392;0.2340002;5788.5;0.2340002;6447.573;0.2340002;5787.196;0.2340002;5183.46;0.2340002;5046.592;0.2340002;5343.896;0.2340002;5297.449;0.2340002;5266.608
0.2370002;6213.696;0.2370002;5847.75;0.2370002;5882.809;0.2370002;6550.686;0.2370002;5888.671;0.2370002;5273.458;0.2370002;5131.451;0.2370002;5430.335;0.2370002;5389.133;0.2370002;5358.733
0.2400002;6314.959;0.2400002;5942.296;0.2400002;5978.597;0.2400002;6654.109;0.2400002;5991.047;0.2400002;5364.584;0.2400002;5216.754;0.2400002;5517.949;0.2400002;5481.085;0.2400002;5451.047
0.2430002;6416.223;0.2430002;6037.822;0.2430002;6074.549;0.2430002;6758.31;0.2430002;6093.625;0.2430002;5456.055;0.2430002;5303.462;0.2430002;5605.791;0.2430002;5574.306;0.2430002;5544.979
0.2460002;6517.708;0.2460002;6133.78;0.2460002;6171.155;0.2460002;6863.051;0.2460002;6196.018;0.2460002;5548.89;0.2460002;5390.263;0.2460002;5695.1;0.2460002;5668.119;0.2460002;5639.646
0.2490002;6619.204;0.2490002;6230.142;0.2490002;6268.03;0.2490002;6968.357;0.2490002;6298.298;0.2490002;5641.744;0.2490002;5478.864;0.2490002;5784.409;0.2490002;5762.834;0.2490002;5735.14
0.2520002;6721.682;0.2520002;6326.901;0.2520002;6365.244;0.2520002;7074.518;0.2520002;6400.861;0.2520002;5736.506;0.2520002;5567.466;0.2520002;5875.27;0.2520002;5858.485;0.2520002;5831.46
0.2550002;6824.48;0.2550002;6423.656;0.2550002;6462.773;0.2550002;7180.961;0.2550002;6503.798;0.2550002;5831.268;0.2550002;5657.356;0.2550002;5966.231;0.2550002;5954.588;0.2550002;5928.363
0.2580002;6928.01;0.2580002;6520.402;0.2580002;6560.585;0.2580002;7288.491;0.2580002;6607.178;0.2580002;5927.247;0.2580002;5747.46;0.2580002;6058.499;0.2580002;6051.748;0.2580002;6026.544
0.2610002;7032.122;0.2610002;6617.321;0.2610002;6658.977;0.2610002;7396.05;0.2610002;6711.982;0.2610002;6023.497;0.2610002;5838.963;0.2610002;6151.212;0.2610002;6149.038;0.2610002;6124.924
0.2640002;7136.894;0.2640002;6715.476;0.2640002;6757.529;0.2640002;7505.345;0.2640002;6816.851;0.2640002;6120.697;0.2640002;5931.167;0.2640002;6244.744;0.2640002;6247.396;0.2640002;6224.667
0.2670002;7242.834;0.2670002;6813.63;0.2670002;6857.084;0.2670002;7614.641;0.2670002;6923.134;0.2670002;6218.464;0.2670002;6023.991;0.2670002;6338.946;0.2670002;6345.754;0.2670002;6324.411
0.2700002;7348.971;0.2700002;6913.156;0.2700002;6956.639;0.2700002;7725.226;0.2700002;7029.417;0.2700002;6316.329;0.2700002;6117.499;0.2700002;6433.576;0.2700002;6443.272;0.2700002;6424.668
0.2730002;7456.098;0.2730002;7012.783;0.2730002;7057.32;0.2730002;7836.085;0.2730002;7137.305;0.2730002;6414.319;0.2730002;6211.199;0.2730002;6528.984;0.2730002;6540.715;0.2730002;6524.958
0.2760001;7563.226;0.2760001;7113.58;0.2760001;7158.062;0.2760001;7948.069;0.2760001;7245.478;0.2760001;6512.508;0.2760001;6305.383;0.2760001;6624.49;0.2760001;6639.005;0.2760001;6624.43
0.2790001;7672.076;0.2790001;7214.783;0.2790001;7259.967;0.2790001;8060.704;0.2790001;7354.797;0.2790001;6611.315;0.2790001;6399.538;0.2790001;6720.505;0.2790001;6737.614;0.2790001;6723.631
0.2820001;7780.981;0.2820001;7316.744;0.2820001;7362.235;0.2820001;8173.997;0.2820001;7464.719;0.2820001;6710.196;0.2820001;6493.397;0.2820001;6816.52;0.2820001;6837.204;0.2820001;6823.644
0.2850001;7891.037;0.2850001;7419.321;0.2850001;7465.415;0.2850001;8288.117;0.2850001;7575.505;0.2850001;6810.434;0.2850001;6587.257;0.2850001;6912.47;0.2850001;6937.64;0.2850001;6924.279
